"disease","gene","expression"
"Influenza","KIF2C",5.028465348
"Influenza","MELK",4.757583535
"Influenza","TTK",4.833518781
"Influenza","CCNA2",5.0770975
"Influenza","BIRC5",3.394156034
"Influenza","BUB1B",4.237543607
"Influenza","KIF2C",3.971509823
"Influenza","MELK",5.096464046
"Influenza","TTK",4.223037909
"Influenza","CCNA2",4.972842027
"Influenza","BIRC5",4.582621922
"Influenza","BUB1B",4.722767209
"Influenza","KIF2C",4.399507876
"Influenza","MELK",4.334684606
"Healthy_Flu","TTK",4.908217629
"Healthy_Flu","CCNA2",4.640921649
"Healthy_Flu","BIRC5",3.947130186
"Healthy_Flu","BUB1B",4.398511899
"Healthy_Flu","KIF2C",4.390989894
"Healthy_Flu","MELK",4.405877709
"Influenza","TTK",4.7184111
"Influenza","CCNA2",4.954395633
"Influenza","BIRC5",4.851195489
"Influenza","BUB1B",4.904147474
"Influenza","KIF2C",4.493595015
"Influenza","MELK",4.339213098
"Influenza","TTK",4.690897524
"Influenza","CCNA2",5.712388205
"Influenza","BIRC5",4.52110609
"Influenza","BUB1B",5.027476855
"Influenza","KIF2C",5.011647148
"Influenza","MELK",5.035889422
"Healthy_Flu","TTK",3.914108097
"Healthy_Flu","CCNA2",4.645580756
"Healthy_Flu","BIRC5",4.63141167
"Healthy_Flu","BUB1B",4.273756293
"Healthy_Flu","KIF2C",4.366940779
"Healthy_Flu","MELK",4.325721229
"Influenza","TTK",4.771718144
"Influenza","CCNA2",4.761334214
"Influenza","BIRC5",4.560541738
"Influenza","BUB1B",4.698083285
"Influenza","KIF2C",4.570023089
"Influenza","MELK",4.41658182
"Influenza","TTK",4.614366773
"Influenza","CCNA2",4.751698151
"Influenza","BIRC5",4.361288714
"Influenza","BUB1B",4.614366773
"Influenza","KIF2C",4.376660277
"Influenza","MELK",4.789949753
"Healthy_Flu","TTK",4.823703226
"Healthy_Flu","CCNA2",4.975918253
"Healthy_Flu","BIRC5",4.153208867
"Healthy_Flu","BUB1B",4.234009286
"Healthy_Flu","KIF2C",4.454966138
"Healthy_Flu","MELK",4.279609784
"Influenza","TTK",4.35281203
"Influenza","CCNA2",4.927016105
"Influenza","BIRC5",4.937380127
"Influenza","BUB1B",4.749986583
"Influenza","KIF2C",4.692042981
"Influenza","MELK",4.519906127
"Healthy_Flu","TTK",4.289403056
"Healthy_Flu","CCNA2",4.902535078
"Healthy_Flu","BIRC5",4.182736141
"Healthy_Flu","BUB1B",4.770210576
"Healthy_Flu","KIF2C",4.377149858
"Healthy_Flu","MELK",4.779657102
"Healthy_Flu","TTK",4.313158511
"Healthy_Flu","CCNA2",5.20049115
"Healthy_Flu","BIRC5",4.677329085
"Healthy_Flu","BUB1B",4.197668191
"Healthy_Flu","KIF2C",4.661351291
"Healthy_Flu","MELK",4.785261501
"Influenza","TTK",4.90885603
"Influenza","CCNA2",6.123356175
"Influenza","BIRC5",5.479157819
"Influenza","BUB1B",4.850245507
"Influenza","KIF2C",5.02722659
"Influenza","MELK",5.156360341
"Healthy_Flu","TTK",3.904022676
"Healthy_Flu","CCNA2",4.835912409
"Healthy_Flu","BIRC5",4.432975349
"Healthy_Flu","BUB1B",4.69558045
"Healthy_Flu","KIF2C",4.253338259
"Healthy_Flu","MELK",4.94306973
"Influenza","TTK",4.324866557
"Influenza","CCNA2",4.913920073
"Influenza","BIRC5",4.785534531
"Influenza","BUB1B",4.288020373
"Influenza","KIF2C",4.398008103
"Influenza","MELK",4.559338451
